"nftId","uri","image","metadata"
"craftyourworld-0000","https://craftyourworld-book-nft.s3.amazonaws.com/webp/0.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-4-5-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0000"",""fileName"":""Craftyourworld-cover-3-4-5-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeic52asfvzeftzb6zznfs6sqzklhdflq2vfwffjkrlg5curlb5t3xm"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Tea Green"",""backdrop"":""Wave"",""signature"":""None""}}"
"craftyourworld-0001","https://craftyourworld-book-nft.s3.amazonaws.com/webp/1.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-4-4-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0001"",""fileName"":""Craftyourworld-cover-2-4-4-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeifof4ksclbcame4c3mm7o5t3vxqrq4qr43q5ckbuh7dbasdb3tkpi"",""attributes"":{""icon"":""Jet"",""bgColor"":""Tea Green"",""backdrop"":""World"",""signature"":""None""}}"
"craftyourworld-0002","https://craftyourworld-book-nft.s3.amazonaws.com/webp/2.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-1-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0002"",""fileName"":""Craftyourworld-cover-3-1-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeiazp4h3aj2xfd5tyflglc6qkqobculknq7s7t4lmat4pjp3yormnm"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Melon"",""backdrop"":""None"",""signature"":""None""}}"
"craftyourworld-0003","https://craftyourworld-book-nft.s3.amazonaws.com/webp/3.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-0-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0003"",""fileName"":""Craftyourworld-cover-3-0-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeienovublqworzhpqr2plbrfvaqwr75jxhhapece3vmbis4cms52ha"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Aureolin"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0004","https://craftyourworld-book-nft.s3.amazonaws.com/webp/4.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-4-4-5-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0004"",""fileName"":""Craftyourworld-cover-4-4-5-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeihgy7dypev5qgoxlf347knilgqz4odbjqbqnlqx6a764hobv24j5u"",""attributes"":{""icon"":""Rocket"",""bgColor"":""Tea Green"",""backdrop"":""Wave"",""signature"":""None""}}"
"craftyourworld-0005","https://craftyourworld-book-nft.s3.amazonaws.com/webp/5.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-0-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0005"",""fileName"":""Craftyourworld-cover-2-0-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeic2iy2dczcyaq53ikprfenfxrdypkhdciqf54wxgi3eces6zc5ttm"",""attributes"":{""icon"":""Jet"",""bgColor"":""Aureolin"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0006","https://craftyourworld-book-nft.s3.amazonaws.com/webp/6.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-4-1-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0006"",""fileName"":""Craftyourworld-cover-4-1-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeicmhqznla277jj4b4mnzzsl5csqera42hhcpoe4tbo6hht3y7mqua"",""attributes"":{""icon"":""Rocket"",""bgColor"":""Melon"",""backdrop"":""None"",""signature"":""None""}}"
"craftyourworld-0007","https://craftyourworld-book-nft.s3.amazonaws.com/webp/7.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-1-4-4-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0007"",""fileName"":""Craftyourworld-cover-1-4-4-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeibozqmgc4q4yensbkjku6ued62z57drfqm66gh7b5klj3advh4jjq"",""attributes"":{""icon"":""Formular1"",""bgColor"":""Tea Green"",""backdrop"":""World"",""signature"":""None""}}"
"craftyourworld-0008","https://craftyourworld-book-nft.s3.amazonaws.com/webp/8.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-4-0-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0008"",""fileName"":""Craftyourworld-cover-4-0-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeigl34xkktk2u55z5x2vrhlvbaa2lksr4gcddbxuf4x5f3spdpisum"",""attributes"":{""icon"":""Rocket"",""bgColor"":""Aureolin"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0009","https://craftyourworld-book-nft.s3.amazonaws.com/webp/9.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-4-4-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0009"",""fileName"":""Craftyourworld-cover-4-4-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeihmu6ah4n46dumqjixoy6gfkqh3nhj65avznongea24yb563fefhy"",""attributes"":{""icon"":""Rocket"",""bgColor"":""Tea Green"",""backdrop"":""None"",""signature"":""None""}}"
